[Game #2]: Game has been added to the history
[Game #2]: Word "swedenborgian" has been selected for the game
[Game #2]: Data has been updated"
[Game #2]: Player p3(#3) tried: option "+" with value: "w"
[Game #2]: Player p2(#2) tried: option "+" with value: "w"
[Game #2]: Player p1(#1) tried: option "+" with value: "w"
[Game #2]: Player p3(#3) tried: option "+" with value: "e"
[Game #2]: Player p2(#2) tried: option "+" with value: "e"
[Game #2]: Player p1(#1) tried: option "+" with value: "e"
[Game #2]: Player p3(#3) tried: option "+" with value: "ę"
[Game #2]: Player p2(#2) tried: option "+" with value: "ę"
[Game #2]: Player p1(#1) tried: option "+" with value: "ę"
[Game #2]: Player p3(#3) tried: option "+" with value: "r"
[Game #2]: Player p2(#2) tried: option "+" with value: "r"
[Game #2]: Player p1(#1) tried: option "+" with value: "r"
[Game #2]: Player p3(#3) tried: option "+" with value: "u"
[Game #2]: Player p2(#2) tried: option "+" with value: "u"
[Game #2]: Player p1(#1) tried: option "+" with value: "u"
[Game #2]: Player p3(#3) tried: option "+" with value: "i"
[Game #2]: Player p2(#2) tried: option "+" with value: "i"
[Game #2]: Player p1(#1) tried: option "+" with value: "i"
[Game #2]: Player p3(#3) tried: option "+" with value: "o"
[Game #2]: Player p2(#2) tried: option "+" with value: "o"
[Game #2]: Player p1(#1) tried: option "+" with value: "o"
[Game #2]: Player p3(#3) tried: option "+" with value: "ó"
[Game #2]: Player p2(#2) tried: option "+" with value: "ó"
[Game #2]: Player p1(#1) tried: option "+" with value: "ó"
[Game #2]: Player p3(#3) tried: option "+" with value: "a"
[Game #2]: Player p2(#2) tried: option "+" with value: "a"
[Game #2]: Player p1(#1) tried: option "+" with value: "a"
[Game #2]: Player p3(#3) tried: option "+" with value: "ą"
[Game #2]: Player p2(#2) tried: option "+" with value: "ą"
[Game #2]: Player p1(#1) tried: option "+" with value: "ą"
[Game #2]: Player p3(#3) tried: option "+" with value: "s"
[Game #2]: Player p2(#2) tried: option "+" with value: "s"
[Game #2]: Player p1(#1) tried: option "+" with value: "s"
[Game #2]: Player p3(#3) tried: option "+" with value: "ś"
[Game #2]: Player p2(#2) tried: option "+" with value: "ś"
[Game #2]: Player p1(#1) tried: option "+" with value: "ś"
[Game #2]: Player p3(#3) tried: option "+" with value: "z"
[Game #2]: Player p2(#2) tried: option "+" with value: "z"
[Game #2]: Player p1(#1) tried: option "+" with value: "z"
[Game #2]: Player p3(#3) tried: option "+" with value: "ż"
[Game #2]: Player p2(#2) tried: option "+" with value: "ż"
[Game #2]: Player p1(#1) tried: option "+" with value: "ż"
[Game #2]: Player p3(#3) tried: option "+" with value: "ź"
[Game #2]: Player p2(#2) tried: option "+" with value: "ź"
[Game #2]: Player p1(#1) tried: option "+" with value: "ź"
[Game #2]: Player p3(#3) tried: option "+" with value: "x"
[Game #2]: Player p2(#2) tried: option "+" with value: "x"
[Game #2]: Player p1(#1) tried: option "+" with value: "x"
[Game #2]: Player p3(#3) tried: option "+" with value: "c"
[Game #2]: Player p2(#2) tried: option "+" with value: "c"
[Game #2]: Player p1(#1) tried: option "+" with value: "c"
[Game #2]: Player p3(#3) tried: option "+" with value: "ć"
[Game #2]: Player p2(#2) tried: option "+" with value: "ć"
[Game #2]: Player p1(#1) tried: option "+" with value: "ć"
[Game #2]: Player p3(#3) tried: option "+" with value: "v"
[Game #2]: Player p2(#2) tried: option "+" with value: "v"
[Game #2]: Player p1(#1) tried: option "+" with value: "v"
[Game #2]: Player p3(#3) tried: option "+" with value: "n"
[Game #2]: Player p2(#2) tried: option "+" with value: "n"
[Game #2]: Player p1(#1) tried: option "+" with value: "n"
[Game #2]: Player p3(#3) tried: option "+" with value: "p"
[Game #2]: Player p2(#2) tried: option "+" with value: "p"
[Game #2]: Player p1(#1) tried: option "+" with value: "p"
[Game #2]: Player p3(#3) tried: option "+" with value: "y"
[Game #2]: Player p2(#2) tried: option "+" with value: "y"
[Game #2]: Player p1(#1) tried: option "+" with value: "y"
[Game #2]: Player p3(#3) tried: option "+" with value: "j"
[Game #2]: Player p2(#2) tried: option "+" with value: "j"
[Game #2]: Player p1(#1) tried: option "+" with value: "j"
[Game #2]: Player p3(#3) tried: option "+" with value: "g"
[Game #2]: Player p2(#2) tried: option "+" with value: "g"
[Game #2]: Player p1(#1) tried: option "+" with value: "g"
[Game #2]: Player p3(#3) tried: option "+" with value: "t"
[Game #2]: Player p2(#2) tried: option "+" with value: "t"
[Game #2]: Player p1(#1) tried: option "+" with value: "t"
[Game #2]: Player p3(#3) tried: option "+" with value: "l"
[Game #2]: Player p2(#2) tried: option "+" with value: "l"
[Game #2]: Player p1(#1) tried: option "+" with value: "l"
[Game #2]: Player p3(#3) tried: option "+" with value: "ł"
[Game #2]: Player p2(#2) tried: option "+" with value: "ł"
[Game #2]: Player p1(#1) tried: option "+" with value: "ł"
[Game #2]: Player p3(#3) tried: option "+" with value: "b"
[Game #2]: Player p2(#2) tried: option "+" with value: "b"
[Game #2]: Player p1(#1) tried: option "+" with value: "b"
[Game #2]: Player p3(#3) tried: option "+" with value: "d"
[Game #2]: Player p3(#3) has guessed all letters
[Game #2]: The game has finished
[Game #2]: Player p3(#3) scored: 13
[Game #2]: Player p2(#2) scored: 12
[Game #2]: Player p1(#1) scored: 12
